class_name,class_value,model_index
AM General Hummer SUV 2000,1,0
Acura RL Sedan 2012,2,108
Acura TL Sedan 2012,3,119
Acura TL Type-S 2008,4,130
Acura TSX Sedan 2012,5,141
Acura Integra Type R 2001,6,152
Acura ZDX Hatchback 2012,7,163
Aston Martin V8 Vantage Convertible 2012,8,174
Aston Martin V8 Vantage Coupe 2012,9,185
Aston Martin Virage Convertible 2012,10,1
Aston Martin Virage Coupe 2012,11,12
Audi RS 4 Convertible 2008,12,23
Audi A5 Coupe 2012,13,34
Audi TTS Coupe 2012,14,45
Audi R8 Coupe 2012,15,56
Audi V8 Sedan 1994,16,67
Audi 100 Sedan 1994,17,78
Audi 100 Wagon 1994,18,89
Audi TT Hatchback 2011,19,100
Audi S6 Sedan 2011,20,109
Audi S5 Convertible 2012,21,110
Audi S5 Coupe 2012,22,111
Audi S4 Sedan 2012,23,112
Audi S4 Sedan 2007,24,113
Audi TT RS Coupe 2012,25,114
BMW ActiveHybrid 5 Sedan 2012,26,115
BMW 1 Series Convertible 2012,27,116
BMW 1 Series Coupe 2012,28,117
BMW 3 Series Sedan 2012,29,118
BMW 3 Series Wagon 2012,30,120
BMW 6 Series Convertible 2007,31,121
BMW X5 SUV 2007,32,122
BMW X6 SUV 2012,33,123
BMW M3 Coupe 2012,34,124
BMW M5 Sedan 2010,35,125
BMW M6 Convertible 2010,36,126
BMW X3 SUV 2012,37,127
BMW Z4 Convertible 2012,38,128
Bentley Continental Supersports Conv. Convertible 2012,39,129
Bentley Arnage Sedan 2009,40,131
Bentley Mulsanne Sedan 2011,41,132
Bentley Continental GT Coupe 2012,42,133
Bentley Continental GT Coupe 2007,43,134
Bentley Continental Flying Spur Sedan 2007,44,135
Bugatti Veyron 16.4 Convertible 2009,45,136
Bugatti Veyron 16.4 Coupe 2009,46,137
Buick Regal GS 2012,47,138
Buick Rainier SUV 2007,48,139
Buick Verano Sedan 2012,49,140
Buick Enclave SUV 2012,50,142
Cadillac CTS-V Sedan 2012,51,143
Cadillac SRX SUV 2012,52,144
Cadillac Escalade EXT Crew Cab 2007,53,145
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54,146
Chevrolet Corvette Convertible 2012,55,147
Chevrolet Corvette ZR1 2012,56,148
Chevrolet Corvette Ron Fellows Edition Z06 2007,57,149
Chevrolet Traverse SUV 2012,58,150
Chevrolet Camaro Convertible 2012,59,151
Chevrolet HHR SS 2010,60,153
Chevrolet Impala Sedan 2007,61,154
Chevrolet Tahoe Hybrid SUV 2012,62,155
Chevrolet Sonic Sedan 2012,63,156
Chevrolet Express Cargo Van 2007,64,157
Chevrolet Avalanche Crew Cab 2012,65,158
Chevrolet Cobalt SS 2010,66,159
Chevrolet Malibu Hybrid Sedan 2010,67,160
Chevrolet TrailBlazer SS 2009,68,161
Chevrolet Silverado 2500HD Regular Cab 2012,69,162
Chevrolet Silverado 1500 Classic Extended Cab 2007,70,164
Chevrolet Express Van 2007,71,165
Chevrolet Monte Carlo Coupe 2007,72,166
Chevrolet Malibu Sedan 2007,73,167
Chevrolet Silverado 1500 Extended Cab 2012,74,168
Chevrolet Silverado 1500 Regular Cab 2012,75,169
Chrysler Aspen SUV 2009,76,170
Chrysler Sebring Convertible 2010,77,171
Chrysler Town and Country Minivan 2012,78,172
Chrysler 300 SRT-8 2010,79,173
Chrysler Crossfire Convertible 2008,80,175
Chrysler PT Cruiser Convertible 2008,81,176
Daewoo Nubira Wagon 2002,82,177
Dodge Caliber Wagon 2012,83,178
Dodge Caliber Wagon 2007,84,179
Dodge Caravan Minivan 1997,85,180
Dodge Ram Pickup 3500 Crew Cab 2010,86,181
Dodge Ram Pickup 3500 Quad Cab 2009,87,182
Dodge Sprinter Cargo Van 2009,88,183
Dodge Journey SUV 2012,89,184
Dodge Dakota Crew Cab 2010,90,186
Dodge Dakota Club Cab 2007,91,187
Dodge Magnum Wagon 2008,92,188
Dodge Challenger SRT8 2011,93,189
Dodge Durango SUV 2012,94,190
Dodge Durango SUV 2007,95,191
Dodge Charger Sedan 2012,96,192
Dodge Charger SRT-8 2009,97,193
Eagle Talon Hatchback 1998,98,194
FIAT 500 Abarth 2012,99,195
FIAT 500 Convertible 2012,100,2
Ferrari FF Coupe 2012,101,3
Ferrari California Convertible 2012,102,4
Ferrari 458 Italia Convertible 2012,103,5
Ferrari 458 Italia Coupe 2012,104,6
Fisker Karma Sedan 2012,105,7
Ford F-450 Super Duty Crew Cab 2012,106,8
Ford Mustang Convertible 2007,107,9
Ford Freestar Minivan 2007,108,10
Ford Expedition EL SUV 2009,109,11
Ford Edge SUV 2012,110,13
Ford Ranger SuperCab 2011,111,14
Ford GT Coupe 2006,112,15
Ford F-150 Regular Cab 2012,113,16
Ford F-150 Regular Cab 2007,114,17
Ford Focus Sedan 2007,115,18
Ford E-Series Wagon Van 2012,116,19
Ford Fiesta Sedan 2012,117,20
GMC Terrain SUV 2012,118,21
